CT-vs-LT20	CT-vs-LT15	CT-vs-LT12	CT-vs-LT12_6
			transcript_9656
			transcript_9845
			transcript_925
			transcript_2231
			transcript_1924
			transcript_1788
			transcript_575
			transcript_2627
			transcript_102
			transcript_4584
			transcript_2066
			transcript_7326
			transcript_6248
			transcript_2052
			transcript_2449
			transcript_4470
			transcript_9654
			transcript_4887
			transcript_11350
			transcript_2319
			transcript_6191
			transcript_2565
			transcript_1510
			transcript_7659
			transcript_480
			transcript_4200
			transcript_2477
			transcript_2257
			transcript_6675
			transcript_2727
			transcript_583
			transcript_4263
			transcript_2061
			transcript_7776
			transcript_3411
			transcript_7868
			transcript_5035
			transcript_8449
			transcript_210
			transcript_641
			transcript_4201
			transcript_8765
			transcript_1461
			transcript_9714
			transcript_1447
			transcript_7548
			transcript_4367
			transcript_1931
			transcript_3634
			transcript_3747
			transcript_5997
			transcript_290
			transcript_816
			transcript_3498
			transcript_9828
			transcript_3944
			transcript_2883
			transcript_7472
			transcript_1144
			transcript_1286
			transcript_3250
			transcript_2612
			transcript_6621
			transcript_8858
			transcript_1196
			transcript_1122
			transcript_7142
			transcript_292
			transcript_1645
			transcript_6454
			transcript_3897
			transcript_7293
			transcript_4334
			transcript_3591
			transcript_9755
			transcript_9676
			transcript_4502
			transcript_4105
			transcript_4939
			transcript_6832
